Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-06-07 00:00:00-04:00,147.75999450683594,148.25,146.7100067138672,147.75,126.11380767822266,4724100,0.0,0.0
2021-06-08 00:00:00-04:00,147.6999969482422,147.8699951171875,145.9199981689453,146.3699951171875,124.93585968017578,5997200,0.0,0.0
2021-06-09 00:00:00-04:00,147.25,147.58999633789062,146.02000427246094,146.10000610351562,124.70541381835938,4008000,0.0,0.0
2021-06-10 00:00:00-04:00,146.30999755859375,148.00999450683594,146.1300048828125,147.60000610351562,125.98577117919922,4698200,0.0,0.0
2021-06-11 00:00:00-04:00,148.0500030517578,148.1199951171875,146.7899932861328,147.69000244140625,126.0625991821289,4364600,0.0,0.0
2021-06-14 00:00:00-04:00,147.47000122070312,148.6300048828125,146.7899932861328,148.57000732421875,126.81370544433594,3831900,0.0,0.0
2021-06-15 00:00:00-04:00,148.89999389648438,149.1699981689453,148.07000732421875,148.5800018310547,126.822265625,4256500,0.0,0.0
2021-06-16 00:00:00-04:00,148.86000061035156,149.27000427246094,146.75,147.10000610351562,125.55900573730469,5492100,0.0,0.0
2021-06-17 00:00:00-04:00,147.25,149.0,146.91000366210938,148.52000427246094,126.77108001708984,5316400,0.0,0.0
2021-06-18 00:00:00-04:00,147.97999572753906,147.97999572753906,145.22999572753906,145.4199981689453,124.12500762939453,10661700,0.0,0.0
2021-06-21 00:00:00-04:00,145.75,146.74000549316406,145.4499969482422,146.55999755859375,125.09805297851562,4904300,0.0,0.0
2021-06-22 00:00:00-04:00,146.72999572753906,147.5,146.2899932861328,146.77999877929688,125.28585815429688,3518000,0.0,0.0
2021-06-23 00:00:00-04:00,146.05999755859375,146.1300048828125,144.8300018310547,144.85000610351562,123.63847351074219,3901700,0.0,0.0
2021-06-24 00:00:00-04:00,144.86000061035156,145.94000244140625,144.61000061035156,145.6699981689453,124.33840942382812,3818900,0.0,0.0
2021-06-25 00:00:00-04:00,145.75999450683594,146.7899932861328,145.24000549316406,146.41000366210938,124.97003936767578,6387600,0.0,0.0
2021-06-28 00:00:00-04:00,146.75999450683594,147.58999633789062,146.6199951171875,147.0399932861328,125.50775146484375,4282800,0.0,0.0
2021-06-29 00:00:00-04:00,147.4499969482422,147.6999969482422,146.39999389648438,146.94000244140625,125.42241668701172,3197700,0.0,0.0
2021-06-30 00:00:00-04:00,147.42999267578125,148.30999755859375,147.1999969482422,148.1699981689453,126.47230529785156,4943700,0.0,0.0
2021-07-01 00:00:00-04:00,148.0800018310547,149.0800018310547,147.94000244140625,148.1999969482422,126.49788665771484,3997600,0.0,0.0
2021-07-02 00:00:00-04:00,148.89999389648438,149.77999877929688,148.55999755859375,148.91000366210938,127.10395050048828,3835500,0.0,0.0
2021-07-06 00:00:00-04:00,149.07000732421875,149.4199981689453,147.77000427246094,149.1300048828125,127.29170227050781,4313800,0.0,0.0
2021-07-07 00:00:00-04:00,149.2899932861328,150.6999969482422,149.0,149.7899932861328,127.85506439208984,4225000,0.0,0.0
2021-07-08 00:00:00-04:00,149.4199981689453,150.6699981689453,149.19000244140625,149.86000061035156,127.914794921875,4216000,0.0,0.0
2021-07-09 00:00:00-04:00,149.41000366210938,150.30999755859375,149.1699981689453,149.47999572753906,127.59048461914062,4088600,0.0,0.0
2021-07-12 00:00:00-04:00,149.49000549316406,149.7899932861328,148.77999877929688,149.50999450683594,127.6160659790039,4873700,0.0,0.0
2021-07-13 00:00:00-04:00,151.14999389648438,153.91000366210938,150.75,152.9600067138672,130.5608673095703,8750800,0.0,0.0
2021-07-14 00:00:00-04:00,152.88999938964844,155.13999938964844,152.8000030517578,154.5399932861328,131.90948486328125,6390300,0.0,0.0
2021-07-15 00:00:00-04:00,154.07000732421875,155.36000061035156,153.25999450683594,155.25,132.51551818847656,4920600,0.0,0.0
